PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
AK-S-15000,GLACIER CREEK DISTILLERY LLC,Active,WASILLA,1540 N SHORELINE DR ,AK,99654,0,MATANUSKA SUSITNA,9-Sep-08,9-Sep-08,,
AK-S-20001,"HIGH MARK DISTILLERY, INC.",Active,STERLING,37200  THOMAS ST ,AK,99672,0,Kenai Peninsula Burough,26-Oct-12,26-Oct-12,,
AK-S-20002,ROBERT BORLAND,Active,FAIRBANKS,3738  MARIPOSA LN ,AK,99709,0,Fairbanks North Star Borough,14-Jan-13,14-Jan-13,,
AK-S-20003,PORT CHILKOOT DISTILLERY LLC,Active,HAINES,34  BLACKSMITH ST ,AK,99827,0,Haines Borough,1-Jul-13,1-Jul-13,,
AK-S-20004,PATRICK LEVY,Active,FAIRBANKS,410  CUSHMAN ST ,AK,99701,0,Fairbanks North Star Borough,11-May-15,11-May-15,,
AK-S-20005,"BIG BEAR ENTERPRISES, LLC. URSA MAJOR DISTILLING",Active,FAIRBANKS,2922  GEORGE PARKS HWY ,AK,99709,0,,27-May-15,27-May-15,,
AK-S-20006,ANCHORAGE DISTILLERY LLC,Active,ANCHORAGE,6310  A ST ,AK,99518,1821,,8-Jan-16,8-Jan-16,,
AK-S-20007,"TWISTER CREEK, LLC",Active,TALKEETNA,37083  S TALKEETNA SPUR RD ,AK,99676,0,Matanuska-Susitna Borough,11-May-16,11-May-16,,
AK-S-20008,SKAGWAY SPIRITS LLC,Active,SKAGWAY,941  ALASKA ST ,AK,99840,0,Skagway,1-Aug-16,1-Aug-16,,
AK-S-20009,ARCTIC HARVEST LLC,Active,NORTH POLE,4753  EIELSON FARM RD ,AK,99705,0,,16-Sep-16,16-Sep-16,,
AK-S-20010,HOARFROST DISTILLING LLC,Active,FAIRBANKS,3501  LATHROP ST ,AK,99701,0,FAIRBANKS NORTH STAR,5-Oct-16,5-Oct-16,,
AL-S-20001,"HIGH RIDGE SPIRITS, LLC.",Active,TROY,12761  COUNTY ROAD 7 ,AL,36081,7131,Bullock,11-Jul-13,11-Jul-13,,
AL-S-20002,"MAD COUNTY WINERY, LLC",Active,HUNTSVILLE,"121  CASTLE DR, NW ",AL,35758,0,Madison,26-Jul-13,26-Jul-13,,
AL-S-20003,JOHN EMERALD DISTILLING COMPANY LLC,Active,OPELIKA,706  N RAILROAD AVE ,AL,36801,0,Lee,31-Dec-13,31-Dec-13,,
AL-S-20004,"BIG ESCAMBIA SPIRITS, LLC",Active,ATMORE,1185  GOAT FEATHERS LN ,AL,36502,0,Escambia,10-Jun-14,10-Jun-14,,
AL-S-20005,BLUE PANTS BREWERY LLC,Active,MADISON,500  LANIER RD ,AL,35758,0,USA,23-Sep-14,23-Sep-14,,
AL-S-20006,GIBSON DISTILLING INC.,Active,DOTHAN,228  KEELARNEY LN ,AL,36303,0,Houston,17-Feb-15,17-Feb-15,,
AL-S-20007,"IRONS DISTILLERY, LLC",Active,HUNTSVILLE,2211  SEMINOLE DR ,AL,35805,0,Madison,31-Mar-15,31-Mar-15,,
AL-S-20008,"REDMONT DISTILLING COMPANY, LLC",Active,BIRMINGHAM,"2824 A 5TH AVE, S ",AL,35233,0,Jefferson,21-May-15,21-May-15,,
AL-S-20009,1185 LLC,Active,BIRMINGHAM,"3024  3RD AVE, S ",AL,35233,3004,Jefferson,25-Jun-15,25-Jun-15,,
AL-S-20010,OLD BLACK BEAR BREWING COMPANY LLC,Active,MADISON,212  MAIN ST ,AL,35758,0,Madison,30-Jun-15,30-Jun-15,,
AL-S-20011,"AVONDALE BREWING COMPANY, LLC",Active,BIRMINGHAM,4100  3RD AVE S ,AL,35222,0,,17-Aug-15,17-Aug-15,,
AL-S-20012,COUCH HILLS LLC,Active,FRUITHURST, ,AL,36262,0,united states,23-Nov-15,23-Nov-15,,
AL-S-20013,"WOLF CREEK DISTILLERIES, L.L.C.",Active,ELBERTA,25020  STATE ST ,AL,36530,0,Baldwin,22-Feb-16,22-Feb-16,,
AL-S-20014,CHAPLE DISTILLERY LLC,Active,LEEDS,8367  DUNNAVANT RD ,AL,35094,0,Jefferson,24-Jun-16,24-Jun-16,,
AL-S-20015,"STRAIGHT TO ALE BRANDS, INC.",Active,HUNTSVILLE,2610  CLINTON AVE NW,AL,35805,0,Madison,20-Aug-16,20-Aug-16,,
AL-S-20016,"SOUTHEAST WINE, LLC",Active,CALERA,173  HIGHWAY 301 ,AL,35040,0,USA,19-Oct-16,19-Oct-16,,
AL-S-20017,"UNCONQUERED SPIRITS DISTILLING COMPANY, INC.",Active,EIGHT MILE,5900  HWY 45 ,AL,36312,0,Mobile,15-Nov-16,15-Nov-16,,
AR-S-15001,LOMBARDI LLC,Active,NORTH LITTLE ROCK,3021 E BROADWAY ,AR,72114,0,PULASKI,17-Oct-08,24-May-11,,
