GEO_ID,NAME,H002001,H002002,H002003,H002004,H002005
id,Geographic Area Name,Total,Total!!Urban,Total!!Urban!!Inside urbanized areas,Total!!Urban!!Inside urban clusters,Total!!Rural
0500000US05131,"Sebastian County, Arkansas",54651,43495,40055,3440,11156
0500000US05133,"Sevier County, Arkansas",6887,2115,0,2115,4772
0500000US05135,"Sharp County, Arkansas",9822,2177,0,2177,7645
0500000US05137,"Stone County, Arkansas",6712,0,0,0,6712
0500000US05139,"Union County, Arkansas",19653,8830,0,8830,10823
0500000US05141,"Van Buren County, Arkansas",10345,0,0,0,10345
0500000US05143,"Washington County, Arkansas",87808,65489,64069,1420,22319
0500000US05145,"White County, Arkansas",32488,14655,0,14655,17833
0500000US05149,"Yell County, Arkansas",9752,1818,0,1818,7934
0500000US06011,"Colusa County, California",7883,4941,0,4941,2942
0500000US06007,"Butte County, California",95835,76924,42052,34872,18911
0500000US06001,"Alameda County, California",582549,580275,580275,0,2274
0500000US06003,"Alpine County, California",1760,0,0,0,1760
0500000US06005,"Amador County, California",18032,5292,0,5292,12740
0500000US06009,"Calaveras County, California",27925,4915,0,4915,23010
0500000US06013,"Contra Costa County, California",400263,397012,391360,5652,3251
0500000US06015,"Del Norte County, California",11186,6690,0,6690,4496
0500000US06031,"Kings County, California",43867,38311,30114,8197,5556
0500000US06021,"Glenn County, California",10778,6262,0,6262,4516
0500000US06023,"Humboldt County, California",61559,41268,0,41268,20291
0500000US06025,"Imperial County, California",56067,45363,33744,11619,10704
0500000US06017,"El Dorado County, California",88159,55624,23162,32462,32535
0500000US06019,"Fresno County, California",315531,279288,229285,50003,36243
0500000US06027,"Inyo County, California",9478,4619,0,4619,4859
0500000US06029,"Kern County, California",284367,248791,189527,59264,35576
0500000US06043,"Mariposa County, California",10188,0,0,0,10188
0500000US06033,"Lake County, California",35492,23281,0,23281,12211
0500000US06035,"Lassen County, California",12710,4447,0,4447,8263
0500000US06037,"Los Angeles County, California",3445076,3420978,3415214,5764,24098
0500000US06039,"Madera County, California",49140,29818,21437,8381,19322
0500000US06041,"Marin County, California",111214,101808,101808,0,9406
0500000US06059,"Orange County, California",1048907,1047133,1047133,0,1774
0500000US06045,"Mendocino County, California",40323,19519,0,19519,20804
0500000US06047,"Merced County, California",83698,70949,52365,18584,12749
0500000US06049,"Modoc County, California",5192,1416,0,1416,3776
0500000US06051,"Mono County, California",13912,8420,0,8420,5492
0500000US06053,"Monterey County, California",139048,121490,106548,14942,17558
0500000US06055,"Napa County, California",54759,45171,38375,6796,9588
0500000US06057,"Nevada County, California",52590,28179,0,28179,24411
0500000US06071,"San Bernardino County, California",699637,646367,560704,85663,53270
0500000US06067,"Sacramento County, California",555932,544855,534371,10484,11077
0500000US06069,"San Benito County, California",17870,12938,0,12938,4932
0500000US06061,"Placer County, California",152648,122635,100793,21842,30013
0500000US06063,"Plumas County, California",15566,2579,0,2579,12987
0500000US06065,"Riverside County, California",800707,755458,729442,26016,45249
0500000US01001,"Autauga County, Alabama",22135,12641,12641,0,9494
0500000US01007,"Bibb County, Alabama",8981,2149,0,2149,6832
0500000US01017,"Chambers County, Alabama",17004,9017,0,9017,7987
0500000US01019,"Cherokee County, Alabama",16267,1944,0,1944,14323
0500000US01025,"Clarke County, Alabama",12638,2937,0,2937,9701
0500000US01013,"Butler County, Alabama",9964,2768,0,2768,7196
0500000US01009,"Blount County, Alabama",23887,2387,162,2225,21500
0500000US01011,"Bullock County, Alabama",4493,1571,0,1571,2922
0500000US01021,"Chilton County, Alabama",19278,2539,0,2539,16739
0500000US01023,"Choctaw County, Alabama",7269,0,0,0,7269
0500000US01037,"Coosa County, Alabama",6478,0,0,0,6478
0500000US01027,"Clay County, Alabama",6776,0,0,0,6776
0500000US01029,"Cleburne County, Alabama",6718,0,0,0,6718
0500000US01031,"Coffee County, Alabama",22330,11555,0,11555,10775
0500000US01035,"Conecuh County, Alabama",7093,1213,0,1213,5880
0500000US01033,"Colbert County, Alabama",25758,14459,14254,205,11299
0500000US01053,"Escambia County, Alabama",16486,6666,0,6666,9820
0500000US01039,"Covington County, Alabama",18829,5539,0,5539,13290
0500000US01041,"Crenshaw County, Alabama",6735,0,0,0,6735
0500000US01043,"Cullman County, Alabama",37054,9989,0,9989,27065
0500000US01045,"Dale County, Alabama",22677,11058,1151,9907,11619
0500000US01047,"Dallas County, Alabama",20208,10746,0,10746,9462
0500000US01049,"DeKalb County, Alabama",31109,2827,0,2827,28282
0500000US01051,"Elmore County, Alabama",32657,13111,9280,3831,19546
0500000US01065,"Hale County, Alabama",7655,726,0,726,6929
0500000US01055,"Etowah County, Alabama",47454,30409,29936,473,17045
0500000US01057,"Fayette County, Alabama",8437,1591,0,1591,6846
0500000US01059,"Franklin County, Alabama",14022,3758,0,3758,10264
0500000US01061,"Geneva County, Alabama",12687,1300,54,1246,11387
0500000US01063,"Greene County, Alabama",5007,0,0,0,5007
0500000US01081,"Lee County, Alabama",62391(r14841),45474,45473,1,16917
0500000US01067,"Henry County, Alabama",8891,975,0,975,7916
0500000US01069,"Houston County, Alabama",45319,29916,29476,440,15403
0500000US01071,"Jackson County, Alabama",24786,5825,0,5825,18961
0500000US01073,"Jefferson County, Alabama",300552(r15062),273517,273076,441,27035
0500000US01075,"Lamar County, Alabama",7354,0,0,0,7354
0500000US01077,"Lauderdale County, Alabama",43791,22786,22786,0,21005
0500000US01079,"Lawrence County, Alabama",15229,1413,28,1385,13816
0500000US01099,"Monroe County, Alabama",11333,2296,0,2296,9037
0500000US01083,"Limestone County, Alabama",34977,13946,2926,11020,21031
0500000US01085,"Lowndes County, Alabama",5140,0,0,0,5140
0500000US01087,"Macon County, Alabama",10259,4411,0,4411,5848
0500000US01089,"Madison County, Alabama",146447,123372,122176,1196,23075
0500000US01091,"Marengo County, Alabama",10237,2929,0,2929,7308
0500000US01093,"Marion County, Alabama",14737,1609,0,1609,13128
