Predictor,Treated,Synthetic,Diff Abs.,Diff
Median.earnings.for.male.full.time..year.round.workers.dollars,48.949,47.564,1.385,1.385
Per.capita.income.dollars,48.789,47.914,0.875,0.875
Rural,56.416,55.687,0.729,0.729
total_votes_x,52.999,53.668,0.669,-0.669
Median.age.years,47.888,47.256,0.632,0.632
Urban_Inside.urbanized.areas,16.474,17.104,0.63,-0.63
Median.nonfamily.income.dollars,50.545,51.017,0.472,-0.472
Hispanic.or.Latino.of.any.race_Mexican,15.652,15.184,0.468,0.468
One.race_Black.or.African.American,5.841,5.376,0.465,0.465
X_COMMUTING.TO.WORK_Mean.travel.time.to.work.minutes,44.239,43.798,0.441,0.441
X_Total.housing.units,46.377,46.022,0.355,0.355
One.race_White,85.755,86.106,0.351,-0.351
Mean.family.income.dollars,50.445,50.108,0.337,0.337
Total.population,46.802,46.483,0.319,0.319
Income_0k_25k,28.057,28.323,0.266,-0.266
Male_Ed_Less_Than_High_School,18.58,18.811,0.231,-0.231
With.earnings_Mean.earnings.dollars,49.824,49.594,0.23,0.23
Total.households,46.496,46.273,0.223,0.223
Median.family.income.dollars,49.472,49.687,0.215,-0.215
republican_vote_percent_x,63.491,63.29,0.201,0.201
democrat_vote_percent_x,34.47,34.645,0.175,-0.175
With.Social.Security,34.334,34.179,0.155,0.155
Income_100k_200k,12.243,12.093,0.15,0.15
Income_25k_50k,27.469,27.324,0.145,0.145
X_INDUSTRY_Arts..entertainment..and.recreation..and.accommodation.and.food.services,7.715,7.852,0.137,-0.137
X_INDUSTRY_Educational.services..and.health.care.and.social.assistance,22.872,22.745,0.127,0.127
X_OCCUPATION_Management..business..science..and.arts.occupations,29.971,30.097,0.126,-0.126
With.Food.Stamp.SNAP.benefits.in.the.past.12.months,12.398,12.511,0.113,-0.113
Hispanic.or.Latino.of.any.race,18.01,18.122,0.112,-0.112
Male_Ed_Some_College_Or_Associates,30.105,29.995,0.11,0.11
X_OCCUPATION_Service.occupations,18.673,18.567,0.106,0.106
Urban_Inside.urban.clusters,27.11,27.209,0.099,-0.099
Female_Ed_Less_Than_High_School,16.205,16.106,0.099,0.099
Age_0_To_9,12.901,12.994,0.093,-0.093
One.race_Some.other.race,3.698,3.79,0.092,-0.092
One.race_American.Indian.and.Alaska.Native,1.275,1.189,0.086,0.086
Female_Ed_High_School_Graduated,31.809,31.895,0.086,-0.086
X_OCCUPATION_Natural.resources..construction..and.maintenance.occupations,14.105,14.188,0.083,-0.083
X_CLASS.OF.WORKER_Private.wage.and.salary.workers,71.749,71.829,0.08,-0.08
With.cash.public.assistance.income,2.237,2.316,0.079,-0.079
X_OCCUPATION_Production..transportation..and.material.moving.occupations,14.758,14.68,0.078,0.078
With.Supplemental.Security.Income,4.905,4.828,0.077,0.077
X_COMMUTING.TO.WORK_Car..truck..or.van....drove.alone,78.076,78.002,0.074,0.074
Civilian.noninstitutionalized.population.18.to.64.years,59.314,59.387,0.073,-0.073
No.health.insurance.coverage,17.095,17.028,0.067,0.067
Hispanic.or.Latino.of.any.race_Puerto.Rican,0.249,0.316,0.067,-0.067
