Predictor,W Weight
"Atkinson County, Georgia",0.062
"Bent County, Colorado",0.056
"Appling County, Georgia",0.05
"Barnwell County, South Carolina",0.049
"Ashland County, Wisconsin",0.042
"Bell County, Kentucky",0.038
"Ashtabula County, Ohio",0.035
"Benton County, Indiana",0.03
"Barbour County, Alabama",0.028
"Bamberg County, South Carolina",0.027
"Appanoose County, Iowa",0.023
"Barren County, Kentucky",0.023
"Bay County, Michigan",0.023
"Bayfield County, Wisconsin",0.023
"Baldwin County, Georgia",0.022
"Barron County, Wisconsin",0.022
"Atoka County, Oklahoma",0.021
"Attala County, Mississippi",0.021
"Scotland County, Missouri",0.02
"Augusta County, Virginia",0.02
"Baker County, Georgia",0.02
"Bennington County, Vermont",0.02
"Adair County, Iowa",0.019
"Beaverhead County, Montana",0.019
"Anoka County, Minnesota",0.017
"Bailey County, Texas",0.017
"Barnstable County, Massachusetts",0.017
"Avoyelles Parish, Louisiana",0.013
"Ballard County, Kentucky",0.012
"Arenac County, Michigan",0.011
"Ashley County, Arkansas",0.01
"Audrain County, Missouri",0.009
"Baltimore County, Maryland",0.009
"Benton County, Tennessee",0.009
"Athens County, Ohio",0.008
"Baker County, Oregon",0.008
"Bath County, Kentucky",0.007
"Benton County, Missouri",0.007
"Atlantic County, New Jersey",0.006
"Baker County, Florida",0.006
"Benton County, Mississippi",0.006
"Aransas County, Texas",0.005
"Aroostook County, Maine",0.005
"Bacon County, Georgia",0.005
"Auglaize County, Ohio",0.004
"Barry County, Michigan",0.004
"Beaver County, Pennsylvania",0.004
"Bedford County, Pennsylvania",0.004
"DeKalb County, Illinois",0.003
"Lake County, Illinois",0.003
"Anderson County, Texas",0.003
"Atchison County, Kansas",0.003
"Baraga County, Michigan",0.003
"Los Angeles County, California",0.002
"Benton County, Iowa",0.002
"Benzie County, Michigan",0.002
"Dakota County, Minnesota",0.001
"Kent County, Michigan",0.001
"Clermont County, Ohio",0.001
"Harford County, Maryland",0.001
"Blaine County, Idaho",0.001
"Hale County, Texas",0.001
"Washtenaw County, Michigan",0.001
"Lampasas County, Texas",0.001
"Fluvanna County, Virginia",0.001
"Jackson County, Mississippi",0.001
"Currituck County, North Carolina",0.001
"Jefferson County, Alabama",0.001
"Jackson County, Missouri",0.001
"Humboldt County, California",0.001
"Pearl River County, Mississippi",0.001
"Chittenden County, Vermont",0.001
"Crawford County, Arkansas",0.001
"York County, Virginia",0.001
"Benton County, Minnesota",0.001
"Ashe County, North Carolina",0.001
"Hillsborough County, New Hampshire",0.001
"Goliad County, Texas",0.001
"Pottawatomie County, Oklahoma",0.001
"Accomack County, Virginia",0.001
"Adair County, Kentucky",0.001
"Adair County, Missouri",0.001
"Adair County, Oklahoma",0.001
"Adams County, Illinois",0.001
"Adams County, Wisconsin",0.001
"Albany County, New York",0.001
"Alexander County, Illinois",0.001
"Allamakee County, Iowa",0.001
"Allegan County, Michigan",0.001
"Allen County, Indiana",0.001
"Allendale County, South Carolina",0.001
"Alpena County, Michigan",0.001
"Anderson County, Kentucky",0.001
"Armstrong County, Pennsylvania",0.001
"Ashland County, Ohio",0.001
"Asotin County, Washington",0.001
"Bates County, Missouri",0.001
"Bath County, Virginia",0.001
"Baxter County, Arkansas",0.001
"Beaufort County, North Carolina",0.001
"Belknap County, New Hampshire",0.001
"Belmont County, Ohio",0.001
"Bergen County, New Jersey",0.001
"Carroll County, Georgia",0
"Cochise County, Arizona",0
"Jefferson Parish, Louisiana",0
"Pike County, Georgia",0
"Avery County, North Carolina",0
"San Juan County, New Mexico",0
"Morris County, New Jersey",0
"Cole County, Missouri",0
"Benton County, Oregon",0
"Sevier County, Utah",0
"Stanislaus County, California",0
"Putnam County, West Virginia",0
"Forrest County, Mississippi",0
"Grant County, Kansas",0
"Hendry County, Florida",0
"Virginia Beach city, Virginia",0
"Christian County, Kentucky",0
"Hockley County, Texas",0
"Ouachita Parish, Louisiana",0
"Fremont County, Idaho",0
"Holmes County, Ohio",0
"Chilton County, Alabama",0
"Anderson County, Kansas",0
"Clay County, South Dakota",0
"Colusa County, California",0
"Will County, Illinois",0
"Jackson County, Illinois",0
"Sioux County, Iowa",0
"Angelina County, Texas",0
"Mayes County, Oklahoma",0
"San Patricio County, Texas",0
"Wharton County, Texas",0
"Miller County, Missouri",0
"Worcester County, Massachusetts",0
"Cheatham County, Tennessee",0
"McCook County, South Dakota",0
"Wayne County, Utah",0
"Zavala County, Texas",0
"Abbeville County, South Carolina",0
"Adams County, Indiana",0
"Adams County, Nebraska",0
"Adams County, Ohio",0
"Adams County, Pennsylvania",0
"Addison County, Vermont",0
"Aitkin County, Minnesota",0
"Alcona County, Michigan",0
"Alcorn County, Mississippi",0
"Alexander County, North Carolina",0
"Alger County, Michigan",0
"Allegany County, Maryland",0
"Allegany County, New York",0
"Alleghany County, North Carolina",0
"Allegheny County, Pennsylvania",0
"Allen County, Kentucky",0
"Allen Parish, Louisiana",0
"Amador County, California",0
"Amelia County, Virginia",0
"Amherst County, Virginia",0
"Amite County, Mississippi",0
"Anderson County, Tennessee",0
"Andrew County, Missouri",0
"Androscoggin County, Maine",0
"Anson County, North Carolina",0
"Antelope County, Nebraska",0
"Antrim County, Michigan",0
