FIPS,State,County,HHNV1MI,PCT_HHNV1MI,LOWI1MI,PCT_LOWI1MI,HHNV10MI,PCT_HHNV10MI,LOWI10MI,PCT_LOWI10MI
19021,IA,Buena Vista,190,2.53,3527,18.57,10,0.13,303,1.6
19023,IA,Butler,207,3.37,3793,25.53,122,2,2118,14.26
19025,IA,Calhoun,101,2.22,2189,20.79,50,1.11,937,8.9
19027,IA,Carroll,105,1.24,2198,10.57,5,0.06,143,0.69
19029,IA,Cass,145,2.37,2472,17.1,58,0.95,1033,7.15
19031,IA,Cedar,191,2.75,2392,13.81,30,0.44,359,2.07
19033,IA,Cerro Gordo,318,1.64,4657,10.27,49,0.25,626,1.38
19035,IA,Cherokee,129,2.4,2297,18.26,19,0.35,451,3.58
19037,IA,Chickasaw,106,2.02,2769,21.27,15,0.28,486,3.73
19039,IA,Clarke,66,1.85,1395,15.69,9,0.26,204,2.29
19041,IA,Clay,161,2.22,2148,12.59,4,0.06,100,0.59
19043,IA,Clayton,271,3.53,4807,25.3,64,0.83,1073,5.65
19045,IA,Clinton,513,2.55,5700,11.56,67,0.33,1202,2.44
19047,IA,Crawford,178,2.77,3963,24.09,53,0.83,1090,6.63
19049,IA,Dallas,273,1.77,4023,10.09,0,0,0,0
19051,IA,Davis,215,6.66,2286,27.25,47,1.44,505,6.03
19053,IA,Decatur,178,5.33,2606,32.84,16,0.48,444,5.6
19055,IA,Delaware,167,2.5,3795,21.42,20,0.3,480,2.71
19057,IA,Des Moines,234,1.36,3397,8.19,29,0.17,474,1.14
19059,IA,Dickinson,149,2.1,2105,13.09,16,0.22,240,1.49
19061,IA,Dubuque,519,1.53,8137,9.47,18,0.05,520,0.6
19063,IA,Emmet,84,1.9,1328,12.69,37,0.82,667,6.37
19065,IA,Fayette,242,2.73,4484,20.93,27,0.3,358,1.67
19067,IA,Floyd,194,2.83,2765,16.71,73,1.06,738,4.46
19069,IA,Franklin,120,2.75,2036,19.46,43,0.98,502,4.8
19071,IA,Fremont,147,4.57,2114,27.02,83,2.6,1099,14.05
19073,IA,Greene,163,3.89,2194,21.85,33,0.8,453,4.51
