FIPS,State,County,PCT_ADULTPA09,PCT_HSPA09,PCT_DIABETES_ADULTS09,PCT_OBESE_ADULTS09,PCT_OBESE_CHILD08,PCT_OBESE_CHILD10,RECFAC07,RECFAC09,PCH_RECFAC_07_09,RECFACPTH07,RECFACPTH09,PCH_RECFACPTH_07_09,NATAMEN
01001,AL,Autauga,59.1,19.4,12.3,34.1,12.4,14.3,5,4,-20,0.100333106,0.078808417,-21.4532272,4
01003,AL,Baldwin,59.1,19.4,11.4,25.5,10.8,12.6,17,18,5.882352941,0.09837109,0.100067824,1.724829182,4
01005,AL,Barbour,59.1,19.4,14,37,20.8,19,1,1,0,0.033629271,0.03362814,-0.003362814,4
01007,AL,Bibb,59.1,19.4,11.8,34,15.4,13.3,2,1,-50,0.093088201,0.046324177,-50.2362533,3
01009,AL,Blount,59.1,19.4,12.6,32,19.9,19.2,3,3,0,0.052755601,0.051418288,-2.534921587,4
01011,AL,Bullock,59.1,19.4,15.6,39.4,15.6,15.3,0,0,0,0,0,0,3
01013,AL,Butler,59.1,19.4,16.6,40.8,7.7,11.6,0,0,0,0,0,0,3
01015,AL,Calhoun,59.1,19.4,14.2,33.6,15.1,13.5,8,7,-12.5,0.070916956,0.061359911,-13.47638958,4
01017,AL,Chambers,59.1,19.4,16.2,35.2,7,10.3,2,2,0,0.057585442,0.058275058,1.197552448,3
01019,AL,Cherokee,59.1,19.4,13.2,30.6,14.3,14.4,1,1,0,0.040859688,0.040903141,0.106348168,4
01021,AL,Chilton,59.1,19.4,11.9,35.3,14.2,15.9,1,3,200,0.023606062,0.069814526,195.7482954,4
01023,AL,Choctaw,59.1,19.4,16.9,38.3,5.6,5.6,0,0,0,0,0,0,4
01025,AL,Clarke,59.1,19.4,14.7,35.4,18.3,16,1,2,100,0.037855845,0.076799017,102.8722832,4
01027,AL,Clay,59.1,19.4,14.8,34.3,14.1,13.4,0,0,0,0,0,0,4
01029,AL,Cleburne,59.1,19.4,12.4,29.9,10.2,12.7,0,0,0,0,0,0,4
01031,AL,Coffee,59.1,19.4,13.3,32.1,16.6,16.6,6,5,-16.66666667,0.128188694,0.102806621,-19.80055516,3
01033,AL,Colbert,59.1,19.4,13.4,33.1,14.7,15,3,4,33.33333333,0.054939018,0.073207782,33.25280477,4
01035,AL,Conecuh,59.1,19.4,16.7,33,18.9,22.1,0,0,0,0,0,0,3
01037,AL,Coosa,59.1,19.4,15.1,33.8,8.6,15.7,0,0,0,0,0,0,4
01039,AL,Covington,59.1,19.4,12.9,36.4,5.7,5.9,2,2,0,0.054341919,0.0545286,0.343530182,3
01041,AL,Crenshaw,59.1,19.4,13.9,37.2,18.7,17.2,0,0,0,0,0,0,3
01043,AL,Cullman,59.1,19.4,13.2,32,16.7,15.3,5,4,-20,0.0620332,0.048912911,-21.15043166,4
01045,AL,Dale,59.1,19.4,13.2,35.6,11.1,12.1,3,2,-33.33333333,0.062159418,0.041539452,-33.17271412,3
01047,AL,Dallas,59.1,19.4,16,41.4,8.9,10.4,0,1,,0,0.023852117,0,3
01049,AL,DeKalb,59.1,19.4,11.3,33.9,20.7,21.3,5,4,-20,0.073233248,0.057653502,-21.2741424,3
01051,AL,Elmore,59.1,19.4,12.3,31.5,9.3,10,4,4,0,0.051640223,0.050484015,-2.238966087,4
01053,AL,Escambia,59.1,19.4,13.2,35.5,12.1,12.6,3,2,-33.33333333,0.079738458,0.053427365,-32.99674093,3
01055,AL,Etowah,59.1,19.4,13.3,32.1,20.2,18.6,10,9,-10,0.096884204,0.086834869,-10.37252159,4
01057,AL,Fayette,59.1,19.4,14.1,36.5,9,8.2,0,0,0,0,0,0,3
01059,AL,Franklin,59.1,19.4,14.6,31.2,20.7,27.6,2,3,50,0.065301858,0.096490946,47.76141005,4
01061,AL,Geneva,59.1,19.4,13.8,35.5,14.4,15.8,1,0,-100,0.038884784,0,-100,3
01063,AL,Greene,59.1,19.4,18.8,47.6,18.2,18.8,0,0,0,0,0,0,3
01065,AL,Hale,59.1,19.4,15,43.5,7.5,6.1,1,0,-100,0.055276104,0,-100,4
01067,AL,Henry,59.1,19.4,14.8,33.7,15.9,17.1,1,1,0,0.06004924,0.060070884,0.03604253,4
01069,AL,Houston,59.1,19.4,12.4,33,18.9,15.8,5,6,20,0.051338919,0.059949043,16.77114453,3
01071,AL,Jackson,59.1,19.4,13.6,30.5,11,13.3,1,2,100,0.018940829,0.037851546,99.84102351,4
01073,AL,Jefferson,59.1,19.4,12.4,32,12,12.2,66,74,12.12121212,0.099776712,0.111273678,11.52269461,4
01075,AL,Lamar,59.1,19.4,12.9,32.2,16.5,12.4,0,0,0,0,0,0,3
01077,AL,Lauderdale,59.1,19.4,13.7,32.4,15.1,16,10,7,-30,0.112966268,0.078125872,-30.84141564,4
01079,AL,Lawrence,59.1,19.4,13.6,38.1,14,15.4,1,1,0,0.029281719,0.029320354,0.131941594,4
01081,AL,Lee,59.1,19.4,10.2,30,9.2,11.2,6,8,33.33333333,0.045874716,0.058874179,28.33687805,3
01083,AL,Limestone,59.1,19.4,10.4,31.4,23.1,19.8,3,4,33.33333333,0.040590456,0.050908721,25.42042118,3
01085,AL,Lowndes,59.1,19.4,18.5,44.6,10.9,7.4,1,1,0,0.078963992,0.081347108,3.017977711,3
01087,AL,Macon,59.1,19.4,15.6,41.4,17.3,12.9,0,0,0,0,0,0,3
01089,AL,Madison,59.1,19.4,11.8,31.4,14.1,15,43,50,16.27906977,0.137031702,0.152558094,11.33051094,3
01091,AL,Marengo,59.1,19.4,16.9,40.2,9.7,14.3,2,2,0,0.094051258,0.095497302,1.537506565,3
01093,AL,Marion,59.1,19.4,12.3,32.7,28.1,25.3,0,1,,0,0.034345377,0,3
01095,AL,Marshall,59.1,19.4,12,29.1,17.3,19.6,5,2,-60,0.056837558,0.022124139,-61.07479065,4
01097,AL,Mobile,59.1,19.4,12.3,31.7,10.9,9.9,32,32,0,0.07896672,0.077722535,-1.575581522,4
01099,AL,Monroe,59.1,19.4,13.8,35.5,6.9,10.2,1,0,-100,0.043938662,0,-100,4
01101,AL,Montgomery,59.1,19.4,13.9,34.1,12,13.1,13,18,38.46153846,0.057611856,0.080314476,39.40616026,3
01103,AL,Morgan,59.1,19.4,11.2,32.9,20.3,17.6,5,6,20,0.043422378,0.051153948,17.80549564,4
01105,AL,Perry,59.1,19.4,19.8,40.2,5.4,8.8,0,0,0,0,0,0,4
01107,AL,Pickens,59.1,19.4,16,36.4,10.2,11.3,2,2,0,0.102548326,0.104069102,1.482984702,4
01109,AL,Pike,59.1,19.4,15.3,36.9,14.4,11.1,2,2,0,0.06625588,0.065657726,-0.902793736,3
01111,AL,Randolph,59.1,19.4,14.5,32.1,13.6,12.6,1,1,0,0.044664791,0.044292864,-0.832705851,4
01113,AL,Russell,59.1,19.4,13.4,39.3,11.2,12.6,3,4,33.33333333,0.059728831,0.078668922,31.71013125,3
01115,AL,St. Clair,59.1,19.4,13.3,35.6,9.2,12,4,2,-50,0.050945679,0.024421515,-52.06361805,4
01117,AL,Shelby,59.1,19.4,8.2,28,17.2,17.5,26,24,-7.692307692,0.141706363,0.124673382,-12.01991258,4
01119,AL,Sumter,59.1,19.4,18.5,42.1,15.2,12.3,1,1,0,0.07536363,0.077802848,3.23659846,3
01121,AL,Talladega,59.1,19.4,14.5,36.8,6.9,11.3,2,3,50,0.02494201,0.037386905,49.89531667,4
01123,AL,Tallapoosa,59.1,19.4,14,36.9,15,14.4,3,3,0,0.073534819,0.073156457,-0.51453375,4
01125,AL,Tuscaloosa,59.1,19.4,11.6,34.6,10.8,11.8,18,16,-11.11111111,0.100559783,0.086939984,-13.54398167,4
01127,AL,Walker,59.1,19.4,14.8,34.8,16.5,16.3,4,6,50,0.058262326,0.087282884,49.81015973,4
01129,AL,Washington,59.1,19.4,12.9,36.2,12.7,11.4,1,1,0,0.058397571,0.05858574,0.322221571,3
01131,AL,Wilcox,59.1,19.4,17.5,43.4,15.6,20.5,0,0,0,0,0,0,4
01133,AL,Winston,59.1,19.4,11.8,36,9.1,12.1,0,0,0,0,0,0,4
02013,AK,Aleutians East,74.3,20.2,5.9,31.4,,,0,0,0,0,0,0,
02016,AK,Aleutians West,74.3,20.2,5.9,27.9,,,0,0,0,0,0,0,
02020,AK,Anchorage,74.3,20.2,6.6,25.7,,,34,34,0,0.122080832,0.118808837,-2.680187578,
02050,AK,Bethel,74.3,20.2,6,30.1,,,1,1,0,0.058479532,0.057630244,-1.452282158,
02060,AK,Bristol Bay,74.3,20.2,7.3,34.9,,,0,0,0,0,0,0,
02068,AK,Denali,74.3,20.2,6,28.4,,,0,0,0,0,0,0,
02070,AK,Dillingham,74.3,20.2,8.2,34.2,,,0,0,0,0,0,0,
02090,AK,Fairbanks North Star,74.3,20.2,6,27.5,,,7,8,14.28571429,0.071463574,0.08108656,13.46558165,
02100,AK,Haines,74.3,20.2,7.9,31.9,,,0,0,0,0,0,0,
02110,AK,Juneau,74.3,20.2,5.5,26.2,,,6,7,16.66666667,0.196437926,0.227302247,15.71199723,
02122,AK,Kenai Peninsula,74.3,20.2,6.5,28.9,,,8,9,12.5,0.150268605,0.164639166,9.56324888,
02130,AK,Ketchikan Gateway,74.3,20.2,7.3,32.4,,,3,5,66.66666667,0.228588845,0.384467512,68.19172113,
02150,AK,Kodiak Island,74.3,20.2,5.9,29.8,,,2,0,-100,0.152975371,0,-100,
02164,AK,Lake and Peninsula,74.3,20.2,7.5,33.7,,,0,0,0,0,0,0,
02170,AK,Matanuska-Susitna,74.3,20.2,5.2,29.6,,,9,8,-11.11111111,0.109217999,0.090519241,-17.12058294,
02180,AK,Nome,74.3,20.2,7,35.7,,,0,0,0,0,0,0,
02185,AK,North Slope,74.3,20.2,7.2,39.4,,,0,1,,0,0.148104265,0,
02188,AK,Northwest Arctic,74.3,20.2,6,29.7,,,0,0,0,0,0,0,
02201,AK,Prince of Wales-Outer Ketchi,74.3,20.2,,,,,0,0,0,0,0,0,
02220,AK,Sitka,74.3,20.2,7,29.7,,,1,2,100,0.114573786,0.228649823,99.56556534,
02232,AK,Skagway-Hoonah-Angoon,74.3,20.2,,,,,0,0,0,0,0,0,
02240,AK,Southeast Fairbanks,74.3,20.2,6,31,,,0,0,0,0,0,0,
02261,AK,Valdez-Cordova,74.3,20.2,6.9,29.1,,,2,2,0,0.211371803,0.214500215,1.48005148,
02270,AK,Wade Hampton,74.3,20.2,6.1,29.7,,,0,0,0,0,0,0,
02280,AK,Wrangell-Petersburg,74.3,20.2,,,,,1,0,-100,0.165125495,0,-100,
02282,AK,Yakutat,74.3,20.2,7.7,30.5,,,0,0,0,0,0,0,
02290,AK,Yukon-Koyukuk,74.3,20.2,7.5,32.6,,,1,0,-100,0.17208742,0,-100,
