FIPS,State,County,FOODINSEC_05_07,FOODINSEC_08_10,CH_FOODINSEC_07_10,FOODINSEC_CHILD_01_07
20073,KS,Greenwood,13,14.5,1.5,8.8
20075,KS,Hamilton,13,14.5,1.5,8.8
20077,KS,Harper,13,14.5,1.5,8.8
20079,KS,Harvey,13,14.5,1.5,8.8
20081,KS,Haskell,13,14.5,1.5,8.8
20083,KS,Hodgeman,13,14.5,1.5,8.8
20085,KS,Jackson,13,14.5,1.5,8.8
20087,KS,Jefferson,13,14.5,1.5,8.8
20089,KS,Jewell,13,14.5,1.5,8.8
20091,KS,Johnson,13,14.5,1.5,8.8
20093,KS,Kearny,13,14.5,1.5,8.8
20095,KS,Kingman,13,14.5,1.5,8.8
20097,KS,Kiowa,13,14.5,1.5,8.8
20099,KS,Labette,13,14.5,1.5,8.8
20101,KS,Lane,13,14.5,1.5,8.8
20103,KS,Leavenworth,13,14.5,1.5,8.8
20105,KS,Lincoln,13,14.5,1.5,8.8
20107,KS,Linn,13,14.5,1.5,8.8
20109,KS,Logan,13,14.5,1.5,8.8
20111,KS,Lyon,13,14.5,1.5,8.8
20113,KS,McPherson,13,14.5,1.5,8.8
20115,KS,Marion,13,14.5,1.5,8.8
20117,KS,Marshall,13,14.5,1.5,8.8
20119,KS,Meade,13,14.5,1.5,8.8
20121,KS,Miami,13,14.5,1.5,8.8
20123,KS,Mitchell,13,14.5,1.5,8.8
20125,KS,Montgomery,13,14.5,1.5,8.8
20127,KS,Morris,13,14.5,1.5,8.8
20129,KS,Morton,13,14.5,1.5,8.8
20131,KS,Nemaha,13,14.5,1.5,8.8
20133,KS,Neosho,13,14.5,1.5,8.8
20135,KS,Ness,13,14.5,1.5,8.8
20137,KS,Norton,13,14.5,1.5,8.8
20139,KS,Osage,13,14.5,1.5,8.8
20141,KS,Osborne,13,14.5,1.5,8.8
20143,KS,Ottawa,13,14.5,1.5,8.8
20145,KS,Pawnee,13,14.5,1.5,8.8
20147,KS,Phillips,13,14.5,1.5,8.8
20149,KS,Pottawatomie,13,14.5,1.5,8.8
20151,KS,Pratt,13,14.5,1.5,8.8
20153,KS,Rawlins,13,14.5,1.5,8.8
20155,KS,Reno,13,14.5,1.5,8.8
20157,KS,Republic,13,14.5,1.5,8.8
20159,KS,Rice,13,14.5,1.5,8.8
20161,KS,Riley,13,14.5,1.5,8.8
20163,KS,Rooks,13,14.5,1.5,8.8
20165,KS,Rush,13,14.5,1.5,8.8
20167,KS,Russell,13,14.5,1.5,8.8
20169,KS,Saline,13,14.5,1.5,8.8
20171,KS,Scott,13,14.5,1.5,8.8
20173,KS,Sedgwick,13,14.5,1.5,8.8
20175,KS,Seward,13,14.5,1.5,8.8
20177,KS,Shawnee,13,14.5,1.5,8.8
20179,KS,Sheridan,13,14.5,1.5,8.8
20181,KS,Sherman,13,14.5,1.5,8.8
20183,KS,Smith,13,14.5,1.5,8.8
20185,KS,Stafford,13,14.5,1.5,8.8
20187,KS,Stanton,13,14.5,1.5,8.8
20189,KS,Stevens,13,14.5,1.5,8.8
20191,KS,Sumner,13,14.5,1.5,8.8
20193,KS,Thomas,13,14.5,1.5,8.8
20195,KS,Trego,13,14.5,1.5,8.8
20197,KS,Wabaunsee,13,14.5,1.5,8.8
20199,KS,Wallace,13,14.5,1.5,8.8
20201,KS,Washington,13,14.5,1.5,8.8
20203,KS,Wichita,13,14.5,1.5,8.8
20205,KS,Wilson,13,14.5,1.5,8.8
20207,KS,Woodson,13,14.5,1.5,8.8
20209,KS,Wyandotte,13,14.5,1.5,8.8
21001,KY,Adair,12.7,15.6,2.9,8
21003,KY,Allen,12.7,15.6,2.9,8
21005,KY,Anderson,12.7,15.6,2.9,8
21007,KY,Ballard,12.7,15.6,2.9,8
21009,KY,Barren,12.7,15.6,2.9,8
21011,KY,Bath,12.7,15.6,2.9,8
21013,KY,Bell,12.7,15.6,2.9,8
