FIPS,State,County,FFR07,FFR09,PCH_FFR_07_09,FFRPTH07,FFRPTH09,PCH_FFRPTH_07_09,FSR07,FSR09,PCH_FSR_07_09,FSRPTH07,FSRPTH09,PCH_FSRPTH_07_09,PC_FFRSALES02,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07
01001,AL,Autauga,32,30,-6.25,0.642131878,0.591063126,-7.95300063,34,34,0,0.68226512,0.669871542,-1.816534006,470,649.511367,349,484.381507
01003,AL,Baldwin,129,112,-13.17829457,0.746462981,0.622644237,-16.58739244,184,202,9.782608696,1.064722391,1.122983355,5.471939435,470,649.511367,349,484.381507
01005,AL,Barbour,20,21,5,0.672585418,0.706190941,4.996469045,11,12,9.090909091,0.36992198,0.40353768,9.087240567,470,649.511367,349,484.381507
01007,AL,Bibb,8,7,-12.5,0.372352804,0.324269236,-12.91344328,8,6,-25,0.372352804,0.27794506,-25.35437995,470,649.511367,349,484.381507
01009,AL,Blount,27,24,-11.11111111,0.474800408,0.411346302,-13.36437474,14,19,35.71428571,0.246192804,0.325649156,32.27403499,470,649.511367,349,484.381507
01011,AL,Bullock,3,4,33.33333333,0.273572862,0.364132909,33.10271582,2,2,0,0.182381908,0.182066454,-0.172963132,470,649.511367,349,484.381507
01013,AL,Butler,15,17,13.33333333,0.740996888,0.851532759,14.91718427,17,19,11.76470588,0.839796473,0.951713084,13.326635,470,649.511367,349,484.381507
01015,AL,Calhoun,100,95,-5,0.886461953,0.832741648,-6.060080119,76,67,-11.84210526,0.673711084,0.587302005,-12.82583612,470,649.511367,349,484.381507
01017,AL,Chambers,23,22,-4.347826087,0.662232588,0.641025641,-3.202341137,16,19,18.75,0.460683539,0.553613054,20.17209353,470,649.511367,349,484.381507
01019,AL,Cherokee,20,16,-20,0.817193757,0.654450262,-19.91492147,14,10,-28.57142857,0.57203563,0.409031414,-28.49546559,470,649.511367,349,484.381507
01021,AL,Chilton,32,23,-28.125,0.755393985,0.5352447,-29.14363757,18,17,-5.555555556,0.424909117,0.395615648,-6.894055164,470,649.511367,349,484.381507
01023,AL,Choctaw,3,4,33.33333333,0.21159543,0.285918513,35.12508935,7,7,0,0.493722669,0.500357398,1.343817012,470,649.511367,349,484.381507
01025,AL,Clarke,26,23,-11.53846154,0.984251969,0.883188695,-10.26802857,16,13,-18.75,0.605693519,0.49919361,-17.58313494,470,649.511367,349,484.381507
01027,AL,Clay,6,4,-33.33333333,0.43566657,0.293255132,-32.68817204,6,7,16.66666667,0.43566657,0.513196481,17.79569892,470,649.511367,349,484.381507
01029,AL,Cleburne,6,7,16.66666667,0.408385516,0.474286876,16.13704632,5,4,-20,0.340321263,0.271021072,-20.36316824,470,649.511367,349,484.381507
01031,AL,Coffee,36,35,-2.777777778,0.769132163,0.719646345,-6.433981015,37,31,-16.21621622,0.790496945,0.637401049,-19.36704464,470,649.511367,349,484.381507
01033,AL,Colbert,42,41,-2.380952381,0.769146248,0.750379765,-2.439910791,34,40,17.64705882,0.6226422,0.73207782,17.57600421,470,649.511367,349,484.381507
01035,AL,Conecuh,6,5,-16.66666667,0.457386797,0.386667698,-15.46155234,5,4,-20,0.381155664,0.309334158,-18.84309025,470,649.511367,349,484.381507
01037,AL,Coosa,0,0,0,0,0,0,0,0,0,0,0,0,470,649.511367,349,484.381507
01039,AL,Covington,29,25,-13.79310345,0.787957831,0.681607503,-13.49695674,24,24,0,0.652103032,0.654343203,0.343530182,470,649.511367,349,484.381507
01041,AL,Crenshaw,4,3,-25,0.291099629,0.217691024,-25.21769102,7,9,28.57142857,0.50942435,0.653073072,28.19824396,470,649.511367,349,484.381507
01043,AL,Cullman,52,50,-3.846153846,0.645145282,0.611411382,-5.228884202,53,44,-16.98113208,0.657551922,0.538042016,-18.17497625,470,649.511367,349,484.381507
01045,AL,Dale,35,33,-5.714285714,0.725193212,0.68540096,-5.487124253,24,31,29.16666667,0.497275346,0.643861507,29.4778664,470,649.511367,349,484.381507
01047,AL,Dallas,24,20,-16.66666667,0.561009818,0.477042338,-14.96720334,17,16,-5.882352941,0.397381954,0.38163387,-3.962959066,470,649.511367,349,484.381507
01049,AL,DeKalb,51,41,-19.60784314,0.746979129,0.5909484,-20.88823134,38,35,-7.894736842,0.556572684,0.504468146,-9.36167711,470,649.511367,349,484.381507
01051,AL,Elmore,33,29,-12.12121212,0.426031836,0.366009112,-14.08878838,32,34,6.25,0.413121781,0.429114132,3.871098532,470,649.511367,349,484.381507
01053,AL,Escambia,23,22,-4.347826087,0.611328177,0.58770102,-3.864889161,20,20,0,0.531589719,0.534273655,0.504888604,470,649.511367,349,484.381507
01055,AL,Etowah,83,82,-1.204819277,0.804138893,0.79116214,-1.613745251,51,54,5.882352941,0.49410944,0.521009214,5.444092249,470,649.511367,349,484.381507
01057,AL,Fayette,14,12,-14.28571429,0.798266621,0.690806517,-13.4616808,7,5,-28.57142857,0.399133311,0.287836049,-27.884734,470,649.511367,349,484.381507
01059,AL,Franklin,24,22,-8.333333333,0.783622294,0.70760027,-9.701360522,19,17,-10.52631579,0.620367649,0.546782027,-11.86161506,470,649.511367,349,484.381507
01061,AL,Geneva,13,10,-23.07692308,0.505502197,0.385193174,-23.79990103,10,8,-20,0.388847844,0.30815454,-20.75189708,470,649.511367,349,484.381507
01063,AL,Greene,2,1,-50,0.21978022,0.11326311,-48.46528486,3,3,0,0.32967033,0.339789331,3.069430287,470,649.511367,349,484.381507
01065,AL,Hale,3,5,66.66666667,0.165828312,0.278164117,67.74223459,7,5,-28.57142857,0.386932729,0.278164117,-28.11047089,470,649.511367,349,484.381507
01067,AL,Henry,13,10,-23.07692308,0.780640125,0.600708836,-23.04919805,9,9,0,0.540443163,0.540637953,0.03604253,470,649.511367,349,484.381507
