FIPS,State,County,GROC07,GROC09,PCH_GROC_07_09,GROCPTH07,GROCPTH09,PCH_GROCPTH_07_09,SUPERC07,SUPERC09,PCH_SUPERC_07_09,SUPERCPTH07,SUPERCPTH09,PCH_SUPERCPTH_07_09,CONVS07,CONVS09,PCH_CONVS_07_09,CONVSPTH07,CONVSPTH09,PCH_CONVSPTH_07_09,SPECS07,SPECS09,PCH_SPECS_07_09,SPECSPTH07,SPECSPTH09,PCH_SPECSPTH_07_09,SNAPS08,SNAPS10,PCH_SNAPS_08_10,SNAPSPTH08,SNAPSPTH10,PCH_SNAPSPTH_08_10,WICS08,WICS11,PCH_WICS_08_11,WICSPTH08,WICSPTH11,PCH_WICSPTH_08_11
01001,AL,Autauga,4,6,50,0.080266485,0.118212625,47.27519899,1,1,0,0.020066621,0.019702104,-1.816534006,30,29,-3.333333333,0.601998635,0.571361021,-5.089316206,1,2,100,0.020066621,0.039404208,96.36693199,37,49,32.43243243,0.735,0.897912811,22.16500828,6,5,-16.66666667,0.119156373,0.090469901,-24.0746437
01003,AL,Baldwin,23,24,4.347826087,0.133090299,0.133423765,0.250556295,3,6,100,0.017359604,0.033355941,92.14689957,118,119,0.847457627,0.682811099,0.661559501,-3.11236844,23,21,-8.695652174,0.133090299,0.116745794,-12.28076324,93,132,41.93548387,0.533,0.724220229,35.87621553,24,26,8.333333333,0.136199578,0.139248167,2.238325023
01005,AL,Barbour,6,5,-16.66666667,0.201775626,0.1681407,-16.66946901,0,0,0,0,0,0,21,14,-33.33333333,0.706214689,0.47079396,-33.33557521,1,2,100,0.033629271,0.06725628,99.99327437,27,40,48.14814815,0.921,1.456823397,58.17843611,10,10,0,0.335165572,0.36874516,10.018806
01007,AL,Bibb,7,6,-14.28571429,0.325808704,0.27794506,-14.69071994,0,1,,0,0.046324177,0,17,19,11.76470588,0.791249709,0.880159355,11.23661027,0,0,0,0,0,0,10,15,50,0.462,0.654593061,41.68680981,6,6,0,0.277919311,0.263550909,-5.169990336
01009,AL,Blount,6,6,0,0.105511202,0.102836576,-2.534921587,1,1,0,0.0175852,0.017139429,-2.534921587,30,31,3.333333333,0.527556009,0.531322307,0.71391436,2,2,0,0.035170401,0.034278859,-2.534921587,23,29,26.08695652,0.4,0.50591396,26.47848993,10,8,-20,0.173028342,0.138703469,-19.83771694
01011,AL,Bullock,2,2,0,0.182381908,0.182066454,-0.172963132,0,0,0,0,0,0,2,2,0,0.182381908,0.182066454,-0.172963132,1,1,0,0.091190954,0.091033227,-0.172963132,11,14,27.27272727,1.019,1.282756093,25.88381679,2,2,0,0.183133413,0.189717321,3.595143237
01013,AL,Butler,3,3,0,0.148199378,0.150270487,1.397515528,0,1,,0,0.050090162,0,23,24,4.347826087,1.136195228,1.202163895,5.80610316,2,1,-50,0.098799585,0.050090162,-49.30124224,27,31,14.81481481,1.344,1.479925526,10.11350642,6,4,-33.33333333,0.297456745,0.1937046,-34.87974173
01015,AL,Calhoun,31,25,-19.35483871,0.274803205,0.219142539,-20.25473694,1,3,200,0.00886462,0.026297105,196.6523786,95,88,-7.368421053,0.842138855,0.771381738,-8.402072581,5,2,-60,0.044323098,0.017531403,-60.44634952,115,164,42.60869565,1.014,1.383125864,36.40294521,18,19,5.555555556,0.15869937,0.16129443,1.63520482
01017,AL,Chambers,7,7,0,0.201549048,0.203962704,1.197552448,1,1,0,0.028792721,0.029137529,1.197552448,28,22,-21.42857143,0.806196194,0.641025641,-20.48763736,1,1,0,0.028792721,0.029137529,1.197552448,27,36,33.33333333,0.784,1.052170101,34.20537,8,9,12.5,0.232065675,0.265181649,14.27008751
01019,AL,Cherokee,4,4,0,0.163438751,0.163612565,0.106348168,1,1,0,0.040859688,0.040903141,0.106348168,14,14,0,0.57203563,0.572643979,0.106348168,1,1,0,0.040859688,0.040903141,0.106348168,25,38,52,1.019,1.462157066,43.4894079,5,6,20,0.204808913,0.23026442,12.42890586
