FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS17,PCH_REDEMP_SNAPS_12_17,PCT_SNAP12,PCT_SNAP17,PCH_SNAP_12_17,PC_SNAPBEN12,PC_SNAPBEN17,PCH_PC_SNAPBEN_12_17,SNAP_PART_RATE11,SNAP_PART_RATE16,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,PCT_NSLP12,PCT_NSLP17,PCH_NSLP_12_17,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PCT_SBP12,PCT_SBP17,PCH_SBP_12_17,PCT_SFSP12,PCT_SFSP17,PCH_SFSP_12_17,PC_WIC_REDEMP11,PC_WIC_REDEMP16,PCH_PC_WIC_REDEMP_11_16,REDEMP_WICS11,REDEMP_WICS16,PCH_REDEMP_WICS_11_16,PCT_WIC12,PCT_WIC17,PCH_WIC_12_17,PCT_WICINFANTCHILD14,PCT_WICINFANTCHILD16,PCH_WICINFANTCHILD_14_16,PCT_WICWOMEN14,PCT_WICWOMEN16,PCH_WICWOMEN_14_16,PCT_CACFP12,PCT_CACFP17,PCH_CACFP_12_17,FDPIR12,FDPIR15,PCH_FDPIR_12_15,FOOD_BANKS18
01001,AL,Autauga,301432.0811,223185.6784,-25.95821999,18.90847619,16.50005631,-2.408419881,18.47148705,16.3546772,-11.45987797,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,36.11672052,,6.886106624,,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,15.61293221,14.62024403,-6.358115196,172391.75,161530.2969,-6.300448418,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01003,AL,Baldwin,274394.5037,157623.1336,-42.55601644,18.90847619,16.50005631,-2.408419881,15.89072227,11.47935963,-27.76061821,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,36.76193858,39.44909638,5.542339783,6.346383887,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,17.10749626,13.87383747,-18.90199852,122739.7109,102920.0859,-16.14768791,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01005,AL,Barbour,325496.5608,257032.0789,-21.03385723,18.90847619,16.50005631,-2.408419881,31.11622238,29.12214661,-6.408476353,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,66.38896121,63.98508258,4.582140068,2.31752797,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,21.93405151,24.03228378,9.566095352,85699.46875,103414.9219,20.67160225,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01007,AL,Bibb,356444.032,227725.2451,-36.11192089,18.90847619,16.50005631,-2.408419881,22.43504906,17.55779076,-21.73945999,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,53.5022779,52.2576761,9.253986333,9.060806743,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,21.48293686,22.0818119,2.787677765,81445.39844,99703.79688,22.41796112,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01009,AL,Blount,229730.0226,142860.8256,-37.81360228,18.90847619,16.50005631,-2.408419881,20.27230453,12.3779726,-38.94146347,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,43.93136026,46.62458543,8.097946592,7.89558147,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,17.11068726,13.86049461,-18.99510193,123098.5625,99651.75781,-19.04718018,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01011,AL,Bullock,211588.9137,170993.9213,-19.18578422,18.90847619,16.50005631,-2.408419881,33.89244843,31.25101089,-7.793587208,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,90.12032932,,0.126662445,,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,,,,260599.375,128019.3281,-50.87504578,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01013,AL,Butler,345604.869,302939.2254,-12.34520905,18.90847619,16.50005631,-2.408419881,32.66789246,27.97814178,-14.35584068,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,67.87410926,67.33652313,7.244655582,5.295055821,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,36.56119156,32.7559166,-10.40796185,190831.1406,164017.0625,-14.05120659,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01015,AL,Calhoun,315617.5026,235151.7624,-25.4947015,18.90847619,16.50005631,-2.408419881,29.97523117,22.04634666,-26.45145416,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,50.9823921,52.74082252,7.096843461,6.127518631,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,22.09410286,20.88901329,-5.454349518,136979.9531,120130.625,-12.30058002,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01017,AL,Chambers,327935.7883,270507.9227,-17.51192388,18.90847619,16.50005631,-2.408419881,28.58197403,23.49489403,-17.79821014,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,65.13009629,65.33101045,5.7365294,5.836236934,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,11.31618977,13.21109581,16.74508858,64181.65625,74358.65625,15.85655594,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
01019,AL,Cherokee,242354.8713,174410.5291,-28.03506355,18.90847619,16.50005631,-2.408419881,27.42250252,16.68471527,-39.15684509,84.02,86.898,0,1,0,0,0,1,1,1,68.22604311,63.12658957,-5.099453542,50.82087724,53.38941118,9.629992649,9.797130134,27.20632814,33.47535394,6.269025798,3.16031985,6.369005538,3.208685689,24.97646141,18.51291275,-25.87856102,108206.3516,119297.2188,10.24973774,2.947682282,2.543569611,-0.404112671,33.48121147,32.91087574,-0.57033573,3.318826904,3.309759047,-0.009067857,0.891238705,1.258762762,0.367524057,0,0,0,0
